id;so_tien_giao_dich;loai_giao_dich;ngay_giao_dich;trang_thai
1;9705;teal Sleek discrete;2020-09-04;35255
2;29476;Automated plug-and-play Guadeloupe;2020-09-04;40280
3;31485;index;2020-09-04;62334
4;12804;Money Market Account transmit;2020-09-04;47557
5;37084;quantify;2020-09-04;54931
6;74662;application payment;2020-09-04;62256
7;39006;content-based mindshare workforce;2020-09-05;70901
8;10885;Orchestrator Ball;2020-09-04;48553
9;80594;auxiliary;2020-09-05;32471
10;352;violet Devolved Handcrafted Rubber Bike;2020-09-05;38963
