id;image;is_detail_content;nam;product_id;rate;repurchase_rate;sell_price;sell_price_display;start_price_vnd;stock;transaction;transalated
1;distributed Wooden;false;Investment Account;71386;80199;31001;8014;31572;72453;20832;76115;false
2;Architect lime protocol;true;Optimization;59929;69893;86513;82348;63653;51710;50961;20032;true
3;Strategist Architect;false;deposit withdrawal;62497;54119;9859;31570;17705;24567;9965;91062;true
4;neural;true;well-modulated Electronics;77060;22501;36260;89890;32802;77576;47340;83339;false
5;Buckinghamshire purple;true;Grocery Checking Account Refined;93690;81496;17580;5153;93874;64552;73105;14848;false
6;azure Division;true;schemas;15245;99560;1132;81532;98048;71937;46825;64805;true
7;Ergonomic Wooden Shoes e-tailers scalable;false;withdrawal Tuna architect;96011;77514;79103;22048;41133;2436;50543;94265;true
8;Home quantify;true;asynchronous;42929;19709;8539;21603;5165;70663;96150;94547;false
9;Strategist motivating;false;harness grey interface;66465;38564;46762;80040;86100;5976;32745;60444;true
10;Gloves Handmade yellow;true;efficient;8945;34897;46856;98608;10554;67565;90056;81707;true
